방향,기준선,n,MAE,RMSE,R2
NB,persistence (1시간 전),670,281.88955223880595,367.2651163283028,-0.6007940923865931
NB,seasonal-naive (24h 전),670,176.96567164179103,257.23815842377223,0.21467956870828542
NB,seasonal-naive (168h 전),670,182.97462686567164,270.05246311748556,0.1344893854280117
NB,climatology (요일×시각 중앙값),670,265.42537313432837,315.5377759630398,-0.18162272048436323
SB,persistence (1시간 전),325,123.53538461538461,176.9624645119802,0.038753565835688786
SB,seasonal-naive (24h 전),325,129.45846153846153,189.01184334077303,-0.09660560413329988
SB,seasonal-naive (168h 전),325,106.74461538461539,169.48065467094557,0.11831654413353965
SB,climatology (요일×시각 중앙값),325,119.50153846153846,174.0406362805051,0.07023380766409937
