,0
lag_1,0.5822822170136532
lag_24,0.12202732089088686
SB_out_lag1,0.09638744558261399
lag_168,0.043771893478475564
base_med,0.024453562643217658
SB_out_lag24,0.023161050047853772
roll24,0.02170990856165663
roll168,0.019854359792805223
lag_2,0.011302595969929217
SB_in_lag24,0.01107038416054719
month,0.010361839022843183
lag_3,0.009948022522814574
SB_in_lag1,0.00922166983473696
hour,0.008475300523505624
dow,0.005972429954460302
