방향,모델,n,MAE,RMSE,R2
NB,기준선 seasonal-naive(24h),540,161.0425925925926,235.15132637579634,0.3137075991710562
NB,LinearRegression,540,149.98806890222036,202.38584825494635,0.49163621174905847
NB,Ridge (CV),540,148.6152497266534,201.80960761128136,0.494526955784084
NB,Lasso (CV),540,149.59865562921348,202.27362294019795,0.4921998427423613
NB,ElasticNet (CV),540,144.15864515844333,200.64271698525457,0.5003554841698843
NB,HuberRegressor,540,149.04032799683276,201.7947697642729,0.4946012818388835
NB,DecisionTree,540,173.17367357436802,233.54113405432656,0.3230741575270857
NB,KNN (k=10),540,150.23191851851854,201.13130556595775,0.49791913522395637
NB,SVR (RBF),540,150.03548570743993,197.2307778565878,0.5172039595538016
NB,MLP (신경망),540,174.7501632048449,214.34406865378216,0.42978680225602706
NB,RandomForest,540,131.86364667598136,181.07754473378645,0.5930476891345522
NB,ExtraTrees,540,131.33486642331067,180.14133159028526,0.5972448875070009
NB,HistGradientBoosting,540,131.10546941820638,181.28413251882037,0.5921185917765763
NB,XGBoost,540,133.75844029044663,183.6404260784777,0.5814465673109387
NB,LightGBM,540,134.8049066677905,185.36118405926234,0.5735659111690954
SB,기준선 seasonal-naive(24h),261,133.84674329501917,193.6731852425429,-0.21276348544733792
SB,LinearRegression,261,95.85597621101711,137.5598311480286,0.388184620055285
SB,Ridge (CV),261,95.40404643357758,136.796009448435,0.3949601508627222
SB,Lasso (CV),261,94.70054485936944,136.5224636904963,0.39737748169982656
SB,ElasticNet (CV),261,90.07254889336225,133.28418122803245,0.42562657359212863
SB,HuberRegressor,261,93.71996108054141,135.8672546884478,0.40314790520682886
SB,DecisionTree,261,116.96804397007843,160.22923154480668,0.1699187162781739
SB,KNN (k=10),261,93.80586590038314,138.47148153592778,0.3800483792476078
SB,SVR (RBF),261,87.9683316201754,131.38291798301364,0.4418962656164287
SB,MLP (신경망),261,88.77890037761438,131.35677209300968,0.44211837465647585
SB,RandomForest,261,92.14971105939222,134.9201949664572,0.41143959451676493
SB,ExtraTrees,261,89.77651445744391,134.4284484533705,0.4157220534174414
SB,HistGradientBoosting,261,100.88889328988463,142.45594600135075,0.34385732599112073
SB,XGBoost,261,98.3476176060936,141.39421927524455,0.3536013652073753
SB,LightGBM,261,102.87632758680373,142.42600496199805,0.34413310990388346
