방향,모델,n,MAE,RMSE,R2
NB,기준선 seasonal-naive(24h),540,161.0425925925926,235.15132637579634,0.3137075991710562
NB,RandomForest,540,131.86364667598136,181.07754473378645,0.5930476891345522
SB,기준선 seasonal-naive(24h),261,133.84674329501917,193.6731852425429,-0.21276348544733792
SB,RandomForest,261,92.14971105939222,134.9201949664572,0.41143959451676493
