방향,평가범위,n,MAE,RMSE,R2
NB,평일 24시간 전체,1812,99.06933855009285,139.04287050625314,0.5011733470186909
NB,↳ 같은 모델을 출퇴근 구간만 채점,540,140.70991707739276,191.431589151897,0.545177926456048
NB,출퇴근 시간대만,540,132.59906585598688,181.99187897639646,0.5889275774827009
SB,평일 24시간 전체,877,56.608829934126405,94.39502992537496,0.6739520555925271
SB,↳ 같은 모델을 출퇴근 구간만 채점,261,92.76440427390034,138.02690637756237,0.38402280984360304
SB,출퇴근 시간대만,261,92.90070285164822,135.88017976725095,0.4030343424898807
